YDH,FIDs,YDXH,YU_BI_DU,PJ_XJ,PJ_SG,SHU_G_MAX,SHU_G_MIN,XGDMJJQ,SGMJJQ,Density,AveBasalArea,AveHeight,WeightedHeight,AveAGB
4.30725E+13,252,25,0.5,8.5,5.4,10.5,2.7,6.7,5.7,933.71,0.01,5.4,6.73,83.68
4.30725E+13,264,37,0.5,8.9,6.7,12,3,7.6,6.8,1273.24,0.01,6.7,7.64,131.58
4.30725E+13,281,17,0.7,10,6.5,10.1,5,7.4,6.9,523.44,0.01,6.49,7.38,122.92
4.30725E+13,258,31,0.3,11.3,8,15.4,3.1,10.6,9.8,933.71,0.01,8.03,10.61,216.6
4.30725E+13,260,33,0.2,10.4,7.7,14,3.7,9.7,9.5,622.47,0.01,7.69,9.67,120.49
4.30725E+13,263,36,0.3,9.8,7.9,23.8,3.3,13.7,10.3,806.39,0.01,7.89,13.71,180.7
4.30725E+13,227,18,0.6,13.3,9.9,17.8,4.7,11.7,11,1117.62,0.02,9.86,11.72,375.16
4.30725E+13,244,17,0.7,12.7,7.9,15.2,4.3,9.5,9.1,848.83,0.02,7.91,9.47,234.46
4.30725E+13,246,19,0.8,9.9,8.9,13.8,4.3,10.2,9.6,1230.8,0.01,8.89,10.17,226.06
4.30725E+13,249,22,0.7,17.4,10.4,17.1,5.8,12.5,11.4,636.62,0.03,10.36,12.53,384.33
4.30725E+13,254,27,0.3,13.2,9.4,13.5,3.7,11.4,10.8,679.06,0.02,9.4,11.37,234.15
4.30725E+13,257,30,0.3,14.8,10.1,17.3,3.2,13.4,12.6,735.65,0.02,10.13,13.42,371.18
4.30725E+13,259,32,0.3,13.8,11.7,21,3.5,13.9,12.8,565.88,0.02,11.73,13.9,241.26
4.30725E+13,253,26,0.6,12.1,9.4,13.6,2,10.8,10.8,1485.45,0.01,9.36,10.79,435.79
4.30725E+13,255,28,0.6,13.5,10.1,16.3,4,12.2,11.5,1711.8,0.02,10.11,12.15,642.74
4.30725E+13,256,29,0.6,17.2,12.5,21.6,4,14.5,13.7,679.06,0.03,12.49,14.46,436.2
4.30725E+13,287,24,0.8,15.8,10.7,15.5,6.5,12.4,11.9,580.03,0.02,10.68,12.38,299.62
4.30725E+13,250,23,0.7,13.9,9.4,15,5,11.6,10.8,990.3,0.02,9.37,11.65,379.93
4.30725E+13,251,24,0.7,14.2,10.5,15.3,3.2,12.1,11.2,947.86,0.02,10.49,12.11,391.66
4.30725E+13,269,5,0.5,8.6,6,8,4.2,6.3,6.3,947.86,0.01,6.02,6.26,68.19
4.30725E+13,272,8,0.4,9.1,5.9,9.5,0,6.7,6.7,862.97,0.01,5.94,6.69,49.96
4.30725E+13,234,7,0.4,6.2,4.8,8.4,3,5.1,5.2,1103.47,0,4.8,5.08,26.47
4.30725E+13,237,10,0.5,5.3,3.6,9.6,2.7,4.1,3.8,1683.51,0,3.63,4.11,26.54
