"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
15,15,"43312712441551","ac46aa3b-4cc4-4374-883e-01d70d63693e",8177,4742
16,15,"43312712453552","a78d641b-70ef-4edc-89a3-931219ba1066",7563,3404
17,15,"43312712441553","32376bf1-fd9a-497e-b661-c9a372efd076",7958,4840
18,15,"43312712451160","2b36336a-712a-4d6c-aa57-ce5e1c46b773",8113,5499
19,15,"43312712453161","5e9f9253-e558-429b-8e93-81e1b320a12b",5744,4088
20,15,"43312712453162","5e9f7797-2e5e-4de8-9cb7-b168d0b6cee8",5684,4941
21,15,"43312712433657","4ccd2452-b23c-4f86-b3f3-232805a6f11e",6630,4233
22,15,"43312735451658","812617c5-96a4-4fc1-9c52-3170c5804eaf",9093,4450
23,15,"43312712441659","17f2ffb6-f07f-4ad5-8cae-f7f4f929c658",10749,3687
24,15,"43312712452660","e5814cf4-0590-46f0-8372-26e96e17e64e",12080,4118
25,15,"43312537423202","aae0eb7b-36b6-41e3-aac3-22616ebad49e",7330,3156
26,15,"43312536423203","283e27f1-409e-4e2d-a635-a905f4f5df64",7545,4678
27,15,"43312512442204","a45ce21f-ea12-4baa-a51e-58701dfec13b",7287,3809
28,15,"43312512453205","75fb67a2-ae84-4944-bcff-95989facfa18",5106,3098
29,15,"43312535423206","78f56919-aafc-4b6e-9e3d-bc0ae69a28cb",4797,3126
30,15,"43312523441207","8d298e20-dacd-45c1-a1e8-f8cd7f5376e7",6377,3278
31,15,"43312523441208","089ef4c7-ec3a-4dea-843e-e757cd45d312",5079,3453
32,15,"43312523443209","2f378473-5cb2-42a2-a057-78b7023ded1e",4982,3175
33,15,"43312512451210","a0a12251-6a86-444d-aedf-1c251368aca9",5987,4102
289,15,"43310106432201","9687fd9e-d762-4d6d-a129-e4d4e48953fe",4890,3850
290,15,"43310106422202","0ab7b14a-c98f-4f00-bcd1-b45e36f40429",9008,3192
291,16,"43310101421203","f5d87601-cd53-451d-b916-857f0961b952",9831,4812
292,15,"43310101422204","ce1370a4-a1f7-44eb-a0af-fde41b0c9093",5506,3181
293,15,"43310101422205","3c3cd145-76da-4281-b4a3-0bce363652c2",8353,2409
