"FIDs","AveDBH","AveHt.1","BasalArWtHt.1","Density","AveBasalAr","AveHt.2","BasalArWtHt.2","AveAGB","dem","aspect","slope","s1vv","s1vh","s1vvstd","s1vhstd","s1vvmd","s1vhmd","s1vvrvh","s1vvrvhmd","s1vhrvv","s1vhrvvmd","s1npdi","s1npdimd","p2hh","p2hv","p2hhrhv","p2hvrhh","p2npdi","l8r","l8r75smax","l8r25min","l8rmax","l8rmaxLST","l8rmaxRN","l8rmaxSVVI","l8rmin","l8rminLST","l8rminRN","l8rminSVVI","l8g","l8g75smax","l8g25min","l8gmax","l8gmaxLST","l8gmaxRN","l8gmaxSVVI","l8gmin","l8gminLST","l8gminRN","l8gminSVVI","l8b","l8b75smax","l8b25min","l8bmax","l8bmaxLST","l8bmaxRN","l8bmaxSVVI","l8bmin","l8bminLST","l8bminRN","l8bminSVVI","l8nir","l8nir75smax","l8nir25min","l8nirmax","l8nirmaxLST","l8nirmaxRN","l8nirmaxSVVI","l8nirmin","l8nirminLST","l8nirminRN","l8nirminSVVI","l8sw1","l8sw175smax","l8sw125min","l8sw1max","l8sw1maxLST","l8sw1maxRN","l8sw1maxSVVI","l8sw1min","l8sw1minLST","l8sw1minRN","l8sw1minSVVI","l8sw2","l8sw275smax","l8sw225min","l8sw2max","l8sw2maxLST","l8sw2maxRN","l8sw2maxSVVI","l8sw2min","l8sw2minLST","l8sw2minRN","l8sw2minSVVI","l8RNav2575","l8RNav75smax","l8RNavsmin25","l8RNmax","l8RNmin","l8SVVIav2575","l8SVVIav75smax","l8SVVIavsmin25","l8SVVImax","l8SVVImin","l8NS1av2575","l8NS1av75smax","l8NS1avsmin25","l8NS1max","l8NS1min","l8NS2av2575","l8NS2av75smax","l8NS2avsmin25","l8NS2max","l8NS2min","l8ndvi","l8evi","l8evi2","l8rvi","l8tcw","l8tcb","l8tcg","l8tcwgd"
15,24.9,17.6,19.6,367.82,0.05,17.6,19.65,152.605,375.470769231,31260.9938462,5993.64615385,-8.45343865770775,-14.2976874899698,0.0241047583463,0.00550666437986,-8.55622448667083,-14.3633290402954,5.84424883226207,5.80710455362461,-5.84424883226207,-5.80710455362461,-0.256877342876438,-0.253369008553862,-4.88516145216796,-9.58766227199349,4.70250081982553,-4.70250081982553,-0.324919373679305,1625.26153846,1949.83384615,1521.07692308,2300.05538462,2288.56307692,2298.01538462,1631.86153846,1505.51692308,1600.46769231,1585.62461538,1939.46769231,2027.84615385,2276.16,1938.27076923,2300.05538462,2288.56307692,2298.01538462,1631.86153846,1505.51692308,1600.46769231,1585.62461538,1939.46769231,979.710769231,1214.93846154,847.88,1475.99692308,1473.78153846,1460.57538462,1120.69538462,767.246153846,768.575384615,767.246153846,1210.96307692,6935.87384615,7622.24,6428.32,8271.90461538,7909.56615385,7827.81538462,6452.00615385,6361.63384615,7690.55384615,7690.02769231,6995.94769231,5277.59384615,6218.28,4468.83384615,6788.07384615,6636.76307692,6725.50153846,4231.98769231,4231.98769231,6006.57230769,5911.14461538,6159.27076923,2631.69846154,3257.12,2148.20923077,3725.2,3622.93846154,3693.90769231,2039.40307692,2039.40307692,3056.71384615,2992.99384615,3405.69230769,15977.9169231,16442.8276923,15534.6,16592.9815385,15468.4830769,10153.72,10411.3569231,9867.29538462,10495.4492308,9823.57846154,11115.3569231,11941.9630769,10643.76,12189.4215385,10589.92,14229.0953846,15046.2615385,13635.2184615,15321.8,13532.1107692,0.620316356313751,1.42137692175837,1.22505456835385,4.26754321198176,8399.85157168925,8679.35856276583,3336.97124891953,5062.88032276973
16,26,20.4,21.8,481,0.06,20.39,21.83,232.1975,360.896341463,30816.9695122,6830.70121951,-6.55628884313277,-12.7475288459686,0.0287176215022,0.00920475620731,-6.52460661947998,-12.8270098133667,6.19124000283582,6.30240319388673,-6.19124000283582,-6.30240319388673,-0.320726195333439,-0.325678385356444,-8.05021015482654,-11.7422523741224,3.69204221929587,-3.69204221929587,-0.186537790024652,1538.81097561,1828.16463415,1360.34146341,2129.05487805,2039.16463415,2129.05487805,1383.30487805,1234.73170732,1541.20731707,1271.40243902,1624.55487805,2010.85365854,2281.61585366,1865.01219512,2129.05487805,2039.16463415,2129.05487805,1383.30487805,1234.73170732,1541.20731707,1271.40243902,1624.55487805,920.597560976,1179.00609756,810.981707317,1385.58536585,1349.12195122,1385.58536585,1024.22560976,719.670731707,802.420731707,846.542682927,920.847560976,8000.37804878,8619.63414634,7628.18902439,8903.32317073,8748.74390244,8714.81707317,8430.13414634,7443.66463415,8520.83536585,8352.25609756,7777.87195122,5704.92073171,6349.33536585,4693.12195122,6584.56707317,6369.43292683,6577.43292683,4472.66463415,4228.82317073,6324.31097561,4831.05487805,6048.09146341,2737.33536585,3116.48170732,2050.23780488,3255.72560976,3065.6402439,3233.45121951,1638.57926829,1571.28658537,3044.09756098,1842.34756098,3062.73780488,16670.7439024,17118.2378049,16269.3658537,17360.5121951,16046.6158537,10082.0487805,10300.1463415,9707.08536585,10343.5,9459.08536585,11618.8841463,12495.4573171,11276.3109756,13169.4512195,11200.847561,14839.152439,15845.9268293,14489.1280488,16847.5426829,14306.597561,0.677370692272575,1.56382280422258,1.38132318543892,5.19906484655048,9074.01383475698,9447.10745670891,4192.84009877994,4881.17373597704
17,19.1,17.1,18.8,763.94,0.03,17.08,18.79,167.44,418.314900154,34641.9615975,5259.73425499,-8.36088821008402,-13.6671119945255,0.0294937873073,0.00652911161543,-8.47698872778229,-13.7811567214722,5.30622378444152,5.30416799368993,-5.30622378444152,-5.30416799368993,-0.240885406535049,-0.238302333219212,-5.14809154342204,-10.2943472400358,5.14625569661372,-5.14625569661372,-0.333254077855013,1478.28571429,1844.41628264,1330.85560676,2276.24116743,2276.24116743,2276.24116743,1330.07680492,1285.97849462,1359.39324117,1330.07680492,1427.03379416,1921.17511521,2282.0952381,1806.2718894,2276.24116743,2276.24116743,2276.24116743,1330.07680492,1285.97849462,1359.39324117,1330.07680492,1427.03379416,849.08141321,1207.41474654,627.47311828,1482.68202765,1477.74807988,1477.74807988,678.829493088,565.158218126,659.195084485,678.829493088,821.697388633,7074.37480799,7614.11520737,6726.66666667,8023.82488479,7440.97235023,7440.97235023,8023.82488479,6668.19047619,7165.07526882,8023.82488479,6714.68817204,5030.38863287,5606.86789555,4501.56989247,6018.92012289,6013.06298003,6013.06298003,4360.60829493,4360.60829493,5487.55760369,4360.60829493,5289.58525346,2457.55606759,2838.6390169,2103.95238095,3082.38556068,3082.38556068,3082.38556068,2040.58218126,2040.58218126,2692.67741935,2040.58218126,2696.80184332,16353.7096774,16820.9462366,15750.9861751,17157.7265745,15313.6175115,10040.8233487,10254.890937,9780.3655914,10313.1367127,9720.68817204,11314.2795699,12190.516129,11108.4777266,12962.8202765,11009.5637481,14484.625192,15353.8694316,14187.6466974,15947.4162826,14120.734255,0.654309741293014,1.46081801708734,1.31694244953333,4.78552605873468,8102.6432106007,8459.59522089388,3590.94158509815,4511.70162550255
18,28.4,19.9,22,254.65,0.07,19.92,21.97,153.925,521.041538462,2489.32923077,9256.08461538,-8.52417718318097,-13.7673916168647,0.022793177031,0.00701648110667,-8.69050465821977,-13.8026241365959,5.24321443368372,5.11211947837618,-5.24321443368372,-5.11211947837618,-0.235210652095199,-0.227274716870622,-4.58188791671952,-8.03934211739713,3.4574542006776,-3.4574542006776,-0.273939559879006,1467.04307692,1818.50923077,1350.73692308,2303.89846154,2274.03538462,2303.89846154,1582.62307692,1317.22,1333.00769231,1317.22,1337.41846154,1868.10615385,2263.01230769,1802.40923077,2303.89846154,2274.03538462,2303.89846154,1582.62307692,1317.22,1333.00769231,1317.22,1337.41846154,856.364615385,1259.40769231,716.673846154,1481.42307692,1450.18615385,1481.42307692,1345.28769231,628.252307692,629.424615385,648.281538462,639.041538462,7673.06,8265.63384615,7266.21692308,8607.08615385,8565.38307692,8431.32461538,7597.07076923,7042.46307692,7746.58461538,7739.44153846,7608.47692308,5373.58,5729.35076923,4900.23230769,5907.40615385,5840.57692308,5798.13230769,4607.04615385,4564.60153846,5815.14,5767.99076923,5765.10307692,2574.02461538,2772.35384615,2250.61538462,3044.98615385,2989.81538462,2994.08153846,1996.23384615,1996.23384615,2645.64923077,2593.33076923,2636.03230769,16636.2969231,16989.9569231,16096.7415385,17086.4523077,15717.3553846,10005.0046154,10186.1015385,9782.98,10252.4969231,9644.73692308,11710.6907692,12135.4230769,11435.6430769,12447.7092308,11380.5907692,14923.8769231,15391.1030769,14673.2584615,15834.2338462,14611.6630769,0.678987629663722,1.54323498417616,1.38589486849342,5.23028949913952,8590.82457569001,8972.13632692195,4049.39253969377,4541.43203599624
19,25.1,20,20.8,452.71,0.05,19.96,20.78,189.43,506.38803681,2369.49079755,9574.97699387,-8.81101246829908,-14.4659146694196,0.0226451250027,0.00631768906423,-8.94758139528356,-14.4843953126215,5.65490220112047,5.53681391733794,-5.65490220112047,-5.53681391733794,-0.242940237242789,-0.236293078742692,-8.65991185918905,-11.5914764328205,2.93156457363149,-2.93156457363149,-0.144758696606897,1505.47699387,1863.25306748,1388.78067485,2274.42331288,2274.42331288,2274.42331288,1660.55981595,1342.71779141,1468.02760736,1355.78834356,1433.71779141,1953.71779141,2302.31595092,1856.8696319,2274.42331288,2274.42331288,2274.42331288,1660.55981595,1342.71779141,1468.02760736,1355.78834356,1433.71779141,890.567484663,1338.52147239,749.917177914,1577.38343558,1577.38343558,1577.38343558,1344.62423313,723.308282209,811.891104294,757.001533742,723.308282209,7982.14723926,8355.57668712,7568.52147239,8508.5107362,8403.96779141,8403.96779141,7798.11809816,7397.96779141,7514.25766871,8053.15184049,8025.81134969,5646.34662577,5998.85429448,5244.67791411,6251.99693252,6251.99693252,6251.99693252,5061.75,5055.25920245,5466.33588957,5793.24079755,5734.70552147,2655.67177914,2891.07055215,2404.58128834,3083.71472393,3083.71472393,3083.71472393,2293.63803681,2290.38650307,2527.70092025,2727.26687117,2800.92791411,16665.7254601,16958.4110429,16109.6871166,17105.8665644,15733.9509202,10055.1411043,10188.3067485,9894.71932515,10230.3251534,9777.75153374,11624.7070552,11888.4187117,11494.6119632,12127.8358896,11438.6993865,14883.9953988,15190.809816,14693.2269939,15453.5306748,14602.0690184,0.682644051476449,1.56641795617348,1.39628042991666,5.30207188270674,8962.0752673332,9351.08577392783,4230.00024600741,4732.07502132579
20,20.7,16.3,19.8,466.85,0.04,16.3,19.82,135.155,494.716049383,2587.86728395,9431.25617284,-8.81475949074799,-14.4077912752436,0.0192358623328,0.00521106775534,-8.85926290919592,-14.4947567851993,5.59303178449563,5.63549387600336,-5.59303178449563,-5.63549387600336,-0.240844851233413,-0.241307233176473,-7.03735005470773,-9.01365397957235,1.97630392486462,-1.97630392486462,-0.123126498544505,1636.89197531,1910.47530864,1526.55246914,2116.15432099,2072.85802469,2101.09259259,1883.49074074,1500.70987654,1630.44135802,1534.41358025,1619.48765432,2001.44753086,2302.39197531,1850.89506173,2116.15432099,2072.85802469,2101.09259259,1883.49074074,1500.70987654,1630.44135802,1534.41358025,1619.48765432,898.027777778,1203.42901235,818.37037037,1392.17901235,1342.33024691,1383.58950617,1327.32407407,785.574074074,904.638888889,822.99691358,878.237654321,6687.5617284,7204.0462963,6351.69135802,7396.59259259,7142.24074074,7033.80864198,7048.08641975,6224.35185185,6508.66358025,7033.95679012,6589.83333333,5571.02777778,5873.39506173,5231.01851852,6018.56481481,5923.13580247,5872.36111111,5386.36728395,5074.66358025,5502.85185185,5580.04012346,5603.96296296,2903.33950617,3108.77160494,2699.40123457,3237.5617284,3152.58333333,3143.99691358,2790.38888889,2597.88888889,3011.05864198,2911.13888889,3033.80864198,15998.1419753,16271.3271605,15635.7160494,16420.9382716,15404.6388889,10354.7932099,10443.6759259,10206.6882716,10474.8796296,10110.3703704,10886.7654321,11168.6419753,10766.0030864,11413.3549383,10737.9598765,13925.8425926,14235.441358,13738.6111111,14523.0308642,13647.5,0.606726871559036,1.29177034639456,1.18927686903478,4.08552416975072,8634.44017068063,8713.7316845708,3156.24091944894,5478.19925123169
21,12.9,10.9,13.5,976.15,0.02,10.85,13.5,80.43,570.481707317,31985.3292683,9528.83231707,-6.33474238255191,-11.8971628045811,0.0430526283638,0.0114765667694,-6.40440610054662,-12.0148479026143,5.56242042202914,5.61044180206765,-5.56242042202914,-5.61044180206765,-0.30509265844333,-0.304596581441618,-6.60912128916263,-10.5931140049101,3.9839927157475,-3.9839927157475,-0.231597385318886,1419.51219512,1497.17682927,1283.89329268,1557.27896341,1361.70121951,1453.93140244,1361.70121951,1205.96189024,1508.85518293,1450.26067073,1511.30945122,1921.54420732,2012.40091463,1823.97865854,1557.27896341,1361.70121951,1453.93140244,1361.70121951,1205.96189024,1508.85518293,1450.26067073,1511.30945122,790.967987805,923.234756098,691.62195122,954.327743902,938.097560976,901.068597561,938.097560976,666.294207317,758.129573171,756.611280488,738.282012195,8197.06554878,9351.38567073,7347.55945122,10244.0960366,8612.83536585,7092.0929878,8612.83536585,7092.0929878,9633.1097561,10133.7728659,9767.34756098,5346.08384146,6382.48323171,4606.62042683,7029.50152439,5359.41768293,4688.07164634,5359.41768293,4484.19969512,6754.68902439,6781.91920732,6814.7652439,2399.63109756,2933.3125,2117.1554878,3194.92530488,2238.80640244,2209.45884146,2238.80640244,2028.08841463,3157.29420732,3054.96036585,3179.80945122,17109.875,17361.6097561,16742.9344512,17494.5503049,16595.3323171,9940.30487805,10140.9817073,9816.92835366,10235.6722561,9804.11280488,11980.8185976,12320.8064024,11760.9908537,12498.1981707,11714.089939,15321.0213415,15684.0335366,15070.5594512,15875.4115854,14931.410061,0.704778096132915,1.57136917526365,1.46006350348214,5.77456507732718,8655.10248200911,9190.89353886969,4489.46149542668,4165.64098658243
22,26.1,19.2,21.9,297.09,0.06,19.19,21.9,123.2375,548.344615385,27045.3692308,10831.6123077,-7.86879441083802,-13.6174741639669,0.0353102217042,0.00869709297155,-8.02326674769402,-13.593891210785,5.74867975312893,5.57062446309098,-5.74867975312893,-5.57062446309098,-0.267551330893718,-0.257694581026364,-3.52359351294632,-9.27442643865598,5.75083292570966,-5.75083292570966,-0.449353333363858,1315.38461538,1389.54769231,1217.62461538,1407.76769231,1331.64,1387.83846154,1280.4,1158.30153846,1384.82769231,1183.5,1326.48769231,1767.98615385,1828.63846154,1655.72769231,1407.76769231,1331.64,1387.83846154,1280.4,1158.30153846,1384.82769231,1183.5,1326.48769231,680.269230769,790.453846154,625.938461538,868.872307692,859.429230769,677.583076923,836.449230769,599.446153846,666.403076923,768.529230769,604.306153846,6308.52769231,7672.58615385,5679.41384615,8226.35076923,8086.31076923,5746.32923077,7370.27076923,5637.24923077,5830.60461538,7496.99076923,5834.53846154,4744.85384615,5221.50615385,4266.32615385,5391.12,4911.72,4730.50153846,4471.32,4173.47076923,4927.46,4659,5091.66,2252.90307692,2540.09846154,1944.34,2594.96923077,2148.8,2397.21846154,1941.74,1903.47846154,2511.40307692,2006.9,2505.56,16574.7538462,17095.6430769,16189.3338462,17259.2692308,16086.2369231,10108.8861538,10337.2969231,9849.37230769,10378.7892308,9792.71076923,11444.5676923,12312.8446154,10786.1169231,12513.6584615,10662.3738462,14716.7092308,15593.2061538,14061.6092308,15853.9292308,13942.8046154,0.654931861151338,1.37177031725871,1.31864180109721,4.79595672516478,7436.04278461124,7677.4626590745,3223.02339446508,4213.01939014616
23,23.7,14.4,17.2,381.97,0.05,14.37,17.23,136.1175,487.147692308,26796.6153846,6222.08307692,-6.2859307555766,-12.6715499130381,0.0404216152659,0.00863345169964,-6.32245443765533,-12.6624307778525,6.38561915746149,6.3399763401972,-6.38561915746149,-6.3399763401972,-0.336839017224123,-0.333948626406146,-2.13668559585092,-11.4777821175832,9.34109652173228,-9.34109652173228,-0.68611544118724,2320.70461538,2625.18769231,2060.63692308,2717.81846154,2313.56307692,2603.99076923,2126.03076923,2038.59076923,2575.89846154,2082.43692308,2503.24307692,2479.40923077,2701.41538462,2305.12923077,2717.81846154,2313.56307692,2603.99076923,2126.03076923,2038.59076923,2575.89846154,2082.43692308,2503.24307692,1285.25538462,1501.12,1081.98461538,1552.89230769,1268.69538462,1489.31076923,1176.83076923,1057.65538462,1468.35076923,1115.40307692,1429.59076923,6305.02461538,7188.76,5875.98153846,7651.30769231,6603.97230769,6142.22153846,7351.52923077,5821.91384615,6260.34461538,7651.30769231,6226.76307692,6351.88,6925.19076923,5800.94769231,7073.08615385,6388.16923077,6991.79384615,5904.25538462,5716.44923077,6975.09230769,5910.48307692,6981.36923077,3987.72615385,4490.53846154,3461.55692308,4541.38461538,3931.48615385,4452.40307692,3505.62769231,3416.90153846,4494.52,3533.36923077,4509.42769231,14354.6369231,15167.56,14119.2246154,15727.8215385,14050.7446154,10708.7538462,10924.0307692,10426.2153846,10960.64,10419.1661538,9726.98153846,10707.8092308,9331.81230769,11302.0461538,9296.85538462,11973.5630769,13027.9907692,11559.7046154,13713.4184615,11518.6523077,0.461911091040467,0.940511129801162,0.838753659829118,2.71685787738548,9932.22835969183,9673.74766953603,2151.1846310739,7781.04372861793
24,26.7,19.7,21.5,410.27,0.06,19.75,21.53,212.48,469.883256528,19884.5376344,2476.86635945,-6.68091388596794,-12.6691570547638,0.0385153536812,0.00948633194204,-6.75497990898535,-12.733599131965,5.98824316879586,5.97861922297964,-5.98824316879586,-5.97861922297964,-0.309468796633229,-0.30677553301434,-1.04167181525349,-10.785732356161,9.7440605409075,-9.7440605409075,-0.823854533056188,1974.49462366,2179.93701997,1848.94009217,2255.82642089,1873.68663594,2191.01536098,1946.29953917,1825.29339478,1899.55606759,1825.29339478,2255.82642089,2255.79109063,2338.14285714,2154.73425499,2255.82642089,1873.68663594,2191.01536098,1946.29953917,1825.29339478,1899.55606759,1825.29339478,2255.82642089,1085.73886329,1169.39784946,981.586789555,1171.04761905,1047.57757296,1171.04761905,1067.11213518,946.941628264,1135.85253456,1015.68202765,1091.83410138,8399.72196621,8998.11674347,7317.8202765,9019.56374808,8933.77572965,7172.640553,8392.37019969,7172.640553,8435.8141321,9019.56374808,7583.11059908,6284.8187404,6647.71428571,5974.56528418,6723.05376344,6424.74961598,6006.46082949,6122.49462366,5942.11981567,6423.30261137,6575.42857143,6306.21198157,3339.49308756,3551.19815668,3171.6344086,3582.5437788,3321.49308756,3367.40706605,3176.58371736,3166.13517665,3166.13517665,3261.55145929,3582.5437788,16172.3993856,16592.4546851,15514.2995392,16633.6989247,15318.5268817,10315.5499232,10473.4930876,10226.952381,10494.9400922,10216.5038402,11379.7158218,11706.265745,11011.2427035,11772.8064516,10884.7603687,14292.1966206,14670.984639,13683.8525346,14686.3824885,13555.1705069,0.619345787403742,1.32701653501393,1.22250141001195,4.25411235136207,10113.8669932459,10401.8442634468,4078.89580230373,6034.97119094218
