"FIDs","AveDBH","AveHt.1","BasalArWtHt.1","Density","AveBasalAr","AveHt.2","BasalArWtHt.2","AveAGB"
252,8.5,5.4,6.7,933.71,0.01,5.4,6.73,83.68
264,8.9,6.7,7.6,1273.24,0.01,6.7,7.64,131.58
281,10,6.5,7.4,523.44,0.01,6.49,7.38,122.92
258,11.3,8,10.6,933.71,0.01,8.03,10.61,216.6
260,10.4,7.7,9.7,622.47,0.01,7.69,9.67,120.49
263,9.8,7.9,13.7,806.39,0.01,7.89,13.71,180.7
227,13.3,9.9,11.7,1117.62,0.02,9.86,11.72,375.16
244,12.7,7.9,9.5,848.83,0.02,7.91,9.47,234.46
246,9.9,8.9,10.2,1230.8,0.01,8.89,10.17,226.06
249,17.4,10.4,12.5,636.62,0.03,10.36,12.53,384.33
254,13.2,9.4,11.4,679.06,0.02,9.4,11.37,234.15
257,14.8,10.1,13.4,735.65,0.02,10.13,13.42,371.18
259,13.8,11.7,13.9,565.88,0.02,11.73,13.9,241.26
253,12.1,9.4,10.8,1485.45,0.01,9.36,10.79,435.79
255,13.5,10.1,12.2,1711.8,0.02,10.11,12.15,642.74
256,17.2,12.5,14.5,679.06,0.03,12.49,14.46,436.2
287,15.8,10.7,12.4,580.03,0.02,10.68,12.38,299.62
250,13.9,9.4,11.6,990.3,0.02,9.37,11.65,379.93
251,14.2,10.5,12.1,947.86,0.02,10.49,12.11,391.66
269,8.6,6,6.3,947.86,0.01,6.02,6.26,68.19
272,9.1,5.9,6.7,862.97,0.01,5.94,6.69,49.96
234,6.2,4.8,5.1,1103.47,0,4.8,5.08,26.47
237,5.3,3.6,4.1,1683.51,0,3.63,4.11,26.54
270,9,5.9,6.2,1471.3,0.01,5.85,6.16,87.51
278,10.3,6.3,7,1230.8,0.01,6.27,6.97,100.59
279,9.5,5.9,6.3,1004.44,0.01,5.95,6.31,65.01
238,5.4,4.2,4.7,2305.98,0,4.2,4.75,45.02
226,10,7.6,8.4,1443,0.01,7.6,8.36,121.44
224,12.8,9.7,10.6,1046.89,0.01,9.69,10.6,175.02
283,9.4,6.3,7.2,1145.92,0.01,6.34,7.22,82
271,14.9,10.5,10.9,353.68,0.02,10.54,10.91,78.77
261,8.5,6.8,7.1,452.71,0.01,6.85,7.13,15.16
265,14,10.1,11.9,311.24,0.02,10.06,11.86,60.61
266,23.2,11.5,13.6,169.77,0.05,11.48,13.61,121.45
284,19.7,10.4,10.7,169.77,0.03,10.38,10.71,59.17
231,15.1,8,10.3,282.94,0.02,8.04,10.34,64.06
213,10.5,11.8,12.8,1018.59,0.01,11.81,12.82,129.36
218,13.4,12.6,14.1,693.21,0.02,12.63,14.12,147.93
219,14,12.8,13.8,466.85,0.02,12.79,13.77,100.69
216,10,11.1,12.8,1499.59,0.01,11.09,12.76,157.92
220,8.9,9.8,11.9,1443,0.01,9.81,11.92,117.54
262,14.2,11.3,11.8,1004.44,0.02,11.27,11.81,175.31
210,13.5,13.6,19.3,962,0.02,13.63,19.29,445.82
211,13.5,11,19.1,848.83,0.02,11,19.11,446.99
214,15,16.5,18.4,792.24,0.02,16.45,18.45,285.85
230,16.4,13.4,17.6,452.71,0.03,13.41,17.55,204.89
267,15.7,12.4,16.4,650.77,0.02,12.38,16.45,297.03
268,16.7,12.4,14.2,495.15,0.03,12.44,14.17,181.01
212,10.2,12.2,13.9,1570.33,0.01,12.24,13.87,178.17
215,13.8,15.8,18.1,721.5,0.02,15.8,18.05,221.07
228,18.5,15.7,18.7,452.71,0.03,15.69,18.73,386.37
229,19.1,13.9,18.7,551.74,0.04,13.89,18.71,455.86
217,19.2,19,21,481,0.03,18.95,20.97,338.47
