"FIDs","s1vv","s1vh","s1vvstd","s1vhstd","s1vvmd","s1vhmd","s1vvrvh","s1vvrvhmd","s1vhrvv","s1vhrvvmd","s1npdi","s1npdimd"
15,-8.45343865770775,-14.2976874899698,0.0241047583463,0.00550666437986,-8.55622448667083,-14.3633290402954,5.84424883226207,5.80710455362461,-5.84424883226207,-5.80710455362461,-0.256877342876438,-0.253369008553862
16,-6.55628884313277,-12.7475288459686,0.0287176215022,0.00920475620731,-6.52460661947998,-12.8270098133667,6.19124000283582,6.30240319388673,-6.19124000283582,-6.30240319388673,-0.320726195333439,-0.325678385356444
17,-8.36088821008402,-13.6671119945255,0.0294937873073,0.00652911161543,-8.47698872778229,-13.7811567214722,5.30622378444152,5.30416799368993,-5.30622378444152,-5.30416799368993,-0.240885406535049,-0.238302333219212
18,-8.52417718318097,-13.7673916168647,0.022793177031,0.00701648110667,-8.69050465821977,-13.8026241365959,5.24321443368372,5.11211947837618,-5.24321443368372,-5.11211947837618,-0.235210652095199,-0.227274716870622
19,-8.81101246829908,-14.4659146694196,0.0226451250027,0.00631768906423,-8.94758139528356,-14.4843953126215,5.65490220112047,5.53681391733794,-5.65490220112047,-5.53681391733794,-0.242940237242789,-0.236293078742692
20,-8.81475949074799,-14.4077912752436,0.0192358623328,0.00521106775534,-8.85926290919592,-14.4947567851993,5.59303178449563,5.63549387600336,-5.59303178449563,-5.63549387600336,-0.240844851233413,-0.241307233176473
21,-6.33474238255191,-11.8971628045811,0.0430526283638,0.0114765667694,-6.40440610054662,-12.0148479026143,5.56242042202914,5.61044180206765,-5.56242042202914,-5.61044180206765,-0.30509265844333,-0.304596581441618
22,-7.86879441083802,-13.6174741639669,0.0353102217042,0.00869709297155,-8.02326674769402,-13.593891210785,5.74867975312893,5.57062446309098,-5.74867975312893,-5.57062446309098,-0.267551330893718,-0.257694581026364
23,-6.2859307555766,-12.6715499130381,0.0404216152659,0.00863345169964,-6.32245443765533,-12.6624307778525,6.38561915746149,6.3399763401972,-6.38561915746149,-6.3399763401972,-0.336839017224123,-0.333948626406146
24,-6.68091388596794,-12.6691570547638,0.0385153536812,0.00948633194204,-6.75497990898535,-12.733599131965,5.98824316879586,5.97861922297964,-5.98824316879586,-5.97861922297964,-0.309468796633229,-0.30677553301434
25,-6.13837317766657,-11.7953441561965,0.0402866108542,0.0089739703129,-6.3423810047489,-11.8718664972056,5.65697097852989,5.52948549245667,-5.65697097852989,-5.52948549245667,-0.31543772399313,-0.303580232554945
26,-6.24125749487726,-12.0550734611845,0.048117210992,0.00937928916835,-6.41445025244268,-12.1102039784794,5.81381596630722,5.69575372603675,-5.81381596630722,-5.69575372603675,-0.317758570298546,-0.307468828029684
27,-8.85860202923431,-14.2808387012761,0.0189041140905,0.00440508499598,-8.83037025478224,-14.3220451774829,5.42223667204178,5.49167492270068,-5.42223667204178,-5.49167492270068,-0.234328769445681,-0.237196630250833
28,-8.7151732021867,-14.0652631120809,0.0193225290947,0.00426668453727,-8.72868120877109,-14.1246748326266,5.35008990989424,5.39599362385553,-5.35008990989424,-5.39599362385553,-0.234854584700971,-0.236113838776281
29,-7.92719140833203,-13.015053856914,0.022283165323,0.00646206116817,-7.93210730388138,-13.0743185823017,5.08786244858197,5.14221127842036,-5.08786244858197,-5.14221127842036,-0.242947324135553,-0.244792298617664
30,-7.50799298922407,-12.9935586314292,0.0312329054305,0.00699408222701,-7.66147639006841,-13.0082891694165,5.48556564220513,5.34681277934811,-5.48556564220513,-5.34681277934811,-0.267568315984385,-0.258677959552113
31,-8.22404707349692,-13.2239865090422,0.0217475745301,0.00678101980036,-8.34580092899279,-13.2005152667728,4.9999394355453,4.85471433778005,-4.9999394355453,-4.85471433778005,-0.233118780624055,-0.225315283302773
32,-8.17003815756519,-13.2707002508229,0.0224410554434,0.00593833564154,-8.36262180107802,-13.2576793244002,5.10066209325773,4.8950575233222,-5.10066209325773,-4.8950575233222,-0.237895822247532,-0.226410237994033
33,-7.68767802149059,-12.7104806767024,0.0282107106944,0.00608086394055,-7.67881506704122,-12.7720415511247,5.02280265521184,5.09322648408348,-5.02280265521184,-5.09322648408348,-0.246238041851139,-0.249047097594891
289,-7.90143945145466,-12.8901012486649,0.0236901230938,0.00528448573121,-8.02596231153879,-12.8772141050748,4.98866179721021,4.85125179353598,-4.98866179721021,-4.85125179353598,-0.239937091202747,-0.23208203848293
290,-8.65499229117118,-14.2648335258084,0.0284251653358,0.0056301927293,-8.85773376389638,-14.3206230225042,5.60984123463727,5.46288925860784,-5.60984123463727,-5.46288925860784,-0.244759331045236,-0.235689238411114
291,-7.86789815533285,-13.2741843918114,0.0327602637947,0.0041794414617,-7.9843476555062,-13.2589913441073,5.40628623647851,5.27464368860113,-5.40628623647851,-5.27464368860113,-0.255712095741901,-0.24829635721094
292,-7.43544153201378,-12.8890080017303,0.0246809109759,0.00535045159121,-7.32867671074732,-12.9414221690896,5.45356646971652,5.61274545834233,-5.45356646971652,-5.61274545834233,-0.268325420605469,-0.276897783854692
293,-6.37336858491528,-12.1168681263752,0.033408613429,0.00638310966075,-6.35578392622151,-12.1430848433646,5.74349954145988,5.78730091714312,-5.74349954145988,-5.78730091714312,-0.310623364705375,-0.312846206393873
